MPA-U,MPA-H,MPA-V,RP-muscle,RP-pc3,RP-293T,model,configuration,weigth_M/R
,0.6216233126420763,,0.4876337136187925,0.4779208813378158,0.3800935790672066,sM3R,2Sub2cell_weightpc3,0.0
,0.727456,,,0.445269595933238,0.3611623250373436,M2R,Human_no_M,0.1
,0.6293924541967779,0.6200834805782429,,0.4666254560324662,0.3671066654795163,2sM2R,2Sub2cell_weightpc3,0.05
,0.7865336472399922,0.8267805217845359,,0.4663901617711655,0.3648258876533896,2M2R,A_P_H_V,0.2
0.8654148545206791,0.7386735484236553,0.796051062625211,0.4138995649303317,0.4703074625135739,0.3954001260469486,3M3R,PoolingAll,0.1
0.927477189129341,0.7932632898106627,0.8636853560605605,0.3748943161441358,0.4476550964449883,0.3759030679884018,3M3R,PoolingAll_weight2,1.0
0.9319866398208982,0.8078544663864996,0.8640588391262335,0.3861497215418145,0.3641295644464656,0.3058216343730104,3M3R,PoolingAll_weight3,5.0
,0.7942718289610678,0.8045872775681443,0.4929090428718007,0.498738279597453,0.3757585594254681,2M3R,HV_3R_w1,0.1
0.9420208750519716,0.8339188236555583,0.871195184235946,,,,3M,schedule_lr.ini,0.0
,,,0.4397231161585958,0.4564220489350763,0.363506308027195,3R,schedule_MTL,0.0
